name,epochs,temperature,alpha,gamma,objective
heur040_n_300_m_13358,100,100.0,0.92,0.7,6422
heur040_n_300_m_13358,100,100.0,0.92,0.9,6035
heur040_n_300_m_13358,100,100.0,0.95,0.7,6203
heur040_n_300_m_13358,100,100.0,0.95,0.9,5980
heur040_n_300_m_13358,100,1000.0,0.92,0.7,6392
heur040_n_300_m_13358,100,1000.0,0.92,0.9,6288
heur040_n_300_m_13358,100,1000.0,0.95,0.7,6005
heur040_n_300_m_13358,100,1000.0,0.95,0.9,6422
heur040_n_300_m_13358,100,10000.0,0.92,0.7,6075
heur040_n_300_m_13358,100,10000.0,0.92,0.9,6384
heur040_n_300_m_13358,100,10000.0,0.95,0.7,6422
heur040_n_300_m_13358,100,10000.0,0.95,0.9,6360
heur041_n_300_m_17492,100,100.0,0.92,0.7,7058
heur041_n_300_m_17492,100,100.0,0.92,0.9,7113
heur041_n_300_m_17492,100,100.0,0.95,0.7,7076
heur041_n_300_m_17492,100,100.0,0.95,0.9,7146
heur041_n_300_m_17492,100,1000.0,0.92,0.7,7110
heur041_n_300_m_17492,100,1000.0,0.92,0.9,7224
heur041_n_300_m_17492,100,1000.0,0.95,0.7,7082
heur041_n_300_m_17492,100,1000.0,0.95,0.9,7224
heur041_n_300_m_17492,100,10000.0,0.92,0.7,7224
heur041_n_300_m_17492,100,10000.0,0.92,0.9,7164
heur041_n_300_m_17492,100,10000.0,0.95,0.7,7224
heur041_n_300_m_17492,100,10000.0,0.95,0.9,7018
heur042_n_300_m_5764,100,100.0,0.92,0.7,1284
heur042_n_300_m_5764,100,100.0,0.92,0.9,1400
heur042_n_300_m_5764,100,100.0,0.95,0.7,1322
heur042_n_300_m_5764,100,100.0,0.95,0.9,1400
heur042_n_300_m_5764,100,1000.0,0.92,0.7,1360
heur042_n_300_m_5764,100,1000.0,0.92,0.9,1400
heur042_n_300_m_5764,100,1000.0,0.95,0.7,1344
heur042_n_300_m_5764,100,1000.0,0.95,0.9,1313
heur042_n_300_m_5764,100,10000.0,0.92,0.7,1398
heur042_n_300_m_5764,100,10000.0,0.92,0.9,1400
heur042_n_300_m_5764,100,10000.0,0.95,0.7,1400
heur042_n_300_m_5764,100,10000.0,0.95,0.9,1400
heur043_n_300_m_12914,100,100.0,0.92,0.7,17608
heur043_n_300_m_12914,100,100.0,0.92,0.9,17608
heur043_n_300_m_12914,100,100.0,0.95,0.7,17607
heur043_n_300_m_12914,100,100.0,0.95,0.9,17608
heur043_n_300_m_12914,100,1000.0,0.92,0.7,17608
heur043_n_300_m_12914,100,1000.0,0.92,0.9,17608
heur043_n_300_m_12914,100,1000.0,0.95,0.7,17608
heur043_n_300_m_12914,100,1000.0,0.95,0.9,17608
heur043_n_300_m_12914,100,10000.0,0.92,0.7,17607
heur043_n_300_m_12914,100,10000.0,0.92,0.9,17608
heur043_n_300_m_12914,100,10000.0,0.95,0.7,17608
heur043_n_300_m_12914,100,10000.0,0.95,0.9,17608
heur044_n_300_m_3234,100,100.0,0.92,0.7,3935
heur044_n_300_m_3234,100,100.0,0.92,0.9,3810
heur044_n_300_m_3234,100,100.0,0.95,0.7,3935
heur044_n_300_m_3234,100,100.0,0.95,0.9,3871
heur044_n_300_m_3234,100,1000.0,0.92,0.7,3935
heur044_n_300_m_3234,100,1000.0,0.92,0.9,3935
heur044_n_300_m_3234,100,1000.0,0.95,0.7,3935
heur044_n_300_m_3234,100,1000.0,0.95,0.9,3849
heur044_n_300_m_3234,100,10000.0,0.92,0.7,3935
heur044_n_300_m_3234,100,10000.0,0.92,0.9,3693
heur044_n_300_m_3234,100,10000.0,0.95,0.7,3935
heur044_n_300_m_3234,100,10000.0,0.95,0.9,3918
heur045_n_300_m_6293,100,100.0,0.92,0.7,9544
heur045_n_300_m_6293,100,100.0,0.92,0.9,9544
heur045_n_300_m_6293,100,100.0,0.95,0.7,9541
heur045_n_300_m_6293,100,100.0,0.95,0.9,9354
heur045_n_300_m_6293,100,1000.0,0.92,0.7,9508
heur045_n_300_m_6293,100,1000.0,0.92,0.9,9544
heur045_n_300_m_6293,100,1000.0,0.95,0.7,9543
heur045_n_300_m_6293,100,1000.0,0.95,0.9,9543
heur045_n_300_m_6293,100,10000.0,0.92,0.7,9544
heur045_n_300_m_6293,100,10000.0,0.92,0.9,9544
heur045_n_300_m_6293,100,10000.0,0.95,0.7,9369
heur045_n_300_m_6293,100,10000.0,0.95,0.9,9412
heur046_n_300_m_13150,100,100.0,0.92,0.7,20691
heur046_n_300_m_13150,100,100.0,0.92,0.9,20684
heur046_n_300_m_13150,100,100.0,0.95,0.7,20691
heur046_n_300_m_13150,100,100.0,0.95,0.9,20691
heur046_n_300_m_13150,100,1000.0,0.92,0.7,20691
heur046_n_300_m_13150,100,1000.0,0.92,0.9,20691
heur046_n_300_m_13150,100,1000.0,0.95,0.7,20691
heur046_n_300_m_13150,100,1000.0,0.95,0.9,20691
heur046_n_300_m_13150,100,10000.0,0.92,0.7,20691
heur046_n_300_m_13150,100,10000.0,0.92,0.9,20691
heur046_n_300_m_13150,100,10000.0,0.95,0.7,20691
heur046_n_300_m_13150,100,10000.0,0.95,0.9,20691
heur047_n_300_m_20096,100,100.0,0.92,0.7,25285
heur047_n_300_m_20096,100,100.0,0.92,0.9,25454
heur047_n_300_m_20096,100,100.0,0.95,0.7,25361
heur047_n_300_m_20096,100,100.0,0.95,0.9,25268
heur047_n_300_m_20096,100,1000.0,0.92,0.7,25370
heur047_n_300_m_20096,100,1000.0,0.92,0.9,26275
heur047_n_300_m_20096,100,1000.0,0.95,0.7,26274
heur047_n_300_m_20096,100,1000.0,0.95,0.9,25433
heur047_n_300_m_20096,100,10000.0,0.92,0.7,25655
heur047_n_300_m_20096,100,10000.0,0.92,0.9,26235
heur047_n_300_m_20096,100,10000.0,0.95,0.7,25284
heur047_n_300_m_20096,100,10000.0,0.95,0.9,26050
heur048_n_300_m_14666,100,100.0,0.92,0.7,31798
heur048_n_300_m_14666,100,100.0,0.92,0.9,31798
heur048_n_300_m_14666,100,100.0,0.95,0.7,31798
heur048_n_300_m_14666,100,100.0,0.95,0.9,31798
heur048_n_300_m_14666,100,1000.0,0.92,0.7,31798
heur048_n_300_m_14666,100,1000.0,0.92,0.9,31798
heur048_n_300_m_14666,100,1000.0,0.95,0.7,31798
heur048_n_300_m_14666,100,1000.0,0.95,0.9,31798
heur048_n_300_m_14666,100,10000.0,0.92,0.7,31798
heur048_n_300_m_14666,100,10000.0,0.92,0.9,31794
heur048_n_300_m_14666,100,10000.0,0.95,0.7,31798
heur048_n_300_m_14666,100,10000.0,0.95,0.9,31798
heur052_n_300_m_26628,100,100.0,0.92,0.7,38411
heur052_n_300_m_26628,100,100.0,0.92,0.9,38519
heur052_n_300_m_26628,100,100.0,0.95,0.7,39454
heur052_n_300_m_26628,100,100.0,0.95,0.9,38405
heur052_n_300_m_26628,100,1000.0,0.92,0.7,38517
heur052_n_300_m_26628,100,1000.0,0.92,0.9,40318
heur052_n_300_m_26628,100,1000.0,0.95,0.7,38438
heur052_n_300_m_26628,100,1000.0,0.95,0.9,38773
heur052_n_300_m_26628,100,10000.0,0.92,0.7,38515
heur052_n_300_m_26628,100,10000.0,0.92,0.9,38572
heur052_n_300_m_26628,100,10000.0,0.95,0.7,38564
heur052_n_300_m_26628,100,10000.0,0.95,0.9,38570
heur053_n_300_m_39861,100,100.0,0.92,0.7,11319
heur053_n_300_m_39861,100,100.0,0.92,0.9,11302
heur053_n_300_m_39861,100,100.0,0.95,0.7,11310
heur053_n_300_m_39861,100,100.0,0.95,0.9,12162
heur053_n_300_m_39861,100,1000.0,0.92,0.7,11289
heur053_n_300_m_39861,100,1000.0,0.92,0.9,11275
heur053_n_300_m_39861,100,1000.0,0.95,0.7,11254
heur053_n_300_m_39861,100,1000.0,0.95,0.9,11272
heur053_n_300_m_39861,100,10000.0,0.92,0.7,11273
heur053_n_300_m_39861,100,10000.0,0.92,0.9,11266
heur053_n_300_m_39861,100,10000.0,0.95,0.7,11277
heur053_n_300_m_39861,100,10000.0,0.95,0.9,11265
heur054_n_300_m_2746,100,100.0,0.92,0.7,1637
heur054_n_300_m_2746,100,100.0,0.92,0.9,1639
heur054_n_300_m_2746,100,100.0,0.95,0.7,1639
heur054_n_300_m_2746,100,100.0,0.95,0.9,1639
heur054_n_300_m_2746,100,1000.0,0.92,0.7,1633
heur054_n_300_m_2746,100,1000.0,0.92,0.9,1639
heur054_n_300_m_2746,100,1000.0,0.95,0.7,1636
heur054_n_300_m_2746,100,1000.0,0.95,0.9,1639
heur054_n_300_m_2746,100,10000.0,0.92,0.7,1637
heur054_n_300_m_2746,100,10000.0,0.92,0.9,1639
heur054_n_300_m_2746,100,10000.0,0.95,0.7,1639
heur054_n_300_m_2746,100,10000.0,0.95,0.9,1628
heur055_n_300_m_5164,100,100.0,0.92,0.7,4744
heur055_n_300_m_5164,100,100.0,0.92,0.9,5015
heur055_n_300_m_5164,100,100.0,0.95,0.7,5019
heur055_n_300_m_5164,100,100.0,0.95,0.9,4916
heur055_n_300_m_5164,100,1000.0,0.92,0.7,4974
heur055_n_300_m_5164,100,1000.0,0.92,0.9,5108
heur055_n_300_m_5164,100,1000.0,0.95,0.7,5108
heur055_n_300_m_5164,100,1000.0,0.95,0.9,5108
heur055_n_300_m_5164,100,10000.0,0.92,0.7,4969
heur055_n_300_m_5164,100,10000.0,0.92,0.9,5108
heur055_n_300_m_5164,100,10000.0,0.95,0.7,5108
heur055_n_300_m_5164,100,10000.0,0.95,0.9,5073
heur056_n_300_m_12131,100,100.0,0.92,0.7,12849
heur056_n_300_m_12131,100,100.0,0.92,0.9,13315
heur056_n_300_m_12131,100,100.0,0.95,0.7,13276
heur056_n_300_m_12131,100,100.0,0.95,0.9,12983
heur056_n_300_m_12131,100,1000.0,0.92,0.7,13330
heur056_n_300_m_12131,100,1000.0,0.92,0.9,13330
heur056_n_300_m_12131,100,1000.0,0.95,0.7,13330
heur056_n_300_m_12131,100,1000.0,0.95,0.9,12936
heur056_n_300_m_12131,100,10000.0,0.92,0.7,13330
heur056_n_300_m_12131,100,10000.0,0.92,0.9,13330
heur056_n_300_m_12131,100,10000.0,0.95,0.7,13313
heur056_n_300_m_12131,100,10000.0,0.95,0.9,13330
heur057_n_300_m_2109,100,100.0,0.92,0.7,3212
heur057_n_300_m_2109,100,100.0,0.92,0.9,3212
heur057_n_300_m_2109,100,100.0,0.95,0.7,3212
heur057_n_300_m_2109,100,100.0,0.95,0.9,3212
heur057_n_300_m_2109,100,1000.0,0.92,0.7,3212
heur057_n_300_m_2109,100,1000.0,0.92,0.9,3212
heur057_n_300_m_2109,100,1000.0,0.95,0.7,3212
heur057_n_300_m_2109,100,1000.0,0.95,0.9,3212
heur057_n_300_m_2109,100,10000.0,0.92,0.7,3205
heur057_n_300_m_2109,100,10000.0,0.92,0.9,3212
heur057_n_300_m_2109,100,10000.0,0.95,0.7,3211
heur057_n_300_m_2109,100,10000.0,0.95,0.9,3212
heur058_n_300_m_4010,100,100.0,0.92,0.7,6096
heur058_n_300_m_4010,100,100.0,0.92,0.9,6096
heur058_n_300_m_4010,100,100.0,0.95,0.7,6096
heur058_n_300_m_4010,100,100.0,0.95,0.9,6042
heur058_n_300_m_4010,100,1000.0,0.92,0.7,6096
heur058_n_300_m_4010,100,1000.0,0.92,0.9,6096
heur058_n_300_m_4010,100,1000.0,0.95,0.7,6096
heur058_n_300_m_4010,100,1000.0,0.95,0.9,6096
heur058_n_300_m_4010,100,10000.0,0.92,0.7,5930
heur058_n_300_m_4010,100,10000.0,0.92,0.9,6084
heur058_n_300_m_4010,100,10000.0,0.95,0.7,6096
heur058_n_300_m_4010,100,10000.0,0.95,0.9,6096
heur059_n_300_m_7867,100,100.0,0.92,0.7,12819
heur059_n_300_m_7867,100,100.0,0.92,0.9,12812
heur059_n_300_m_7867,100,100.0,0.95,0.7,12746
heur059_n_300_m_7867,100,100.0,0.95,0.9,12819
heur059_n_300_m_7867,100,1000.0,0.92,0.7,12819
heur059_n_300_m_7867,100,1000.0,0.92,0.9,12819
heur059_n_300_m_7867,100,1000.0,0.95,0.7,12699
heur059_n_300_m_7867,100,1000.0,0.95,0.9,12819
heur059_n_300_m_7867,100,10000.0,0.92,0.7,12819
heur059_n_300_m_7867,100,10000.0,0.92,0.9,12783
heur059_n_300_m_7867,100,10000.0,0.95,0.7,12791
heur059_n_300_m_7867,100,10000.0,0.95,0.9,12674
heur060_n_300_m_12405,100,100.0,0.92,0.7,21100
heur060_n_300_m_12405,100,100.0,0.92,0.9,20123
heur060_n_300_m_12405,100,100.0,0.95,0.7,20409
heur060_n_300_m_12405,100,100.0,0.95,0.9,21044
heur060_n_300_m_12405,100,1000.0,0.92,0.7,20596
heur060_n_300_m_12405,100,1000.0,0.92,0.9,21100
heur060_n_300_m_12405,100,1000.0,0.95,0.7,21100
heur060_n_300_m_12405,100,1000.0,0.95,0.9,21100
heur060_n_300_m_12405,100,10000.0,0.92,0.7,20871
heur060_n_300_m_12405,100,10000.0,0.92,0.9,21100
heur060_n_300_m_12405,100,10000.0,0.95,0.7,21100
heur060_n_300_m_12405,100,10000.0,0.95,0.9,21100
